,WinXwin,Comp,Talk,Vehicle,Avg. Rank
Local Coverage Total Counting (With Sparsity) Cross-Label Deviation Minimization,119.022 (3),112.073 (4),106.205 (27),125.223 (3),9.25
Local Coverage Total Counting (With Sparsity) Cross-Label Total Minimization,118.233 (6),111.477 (12),109.046 (3),125.258 (2),5.75
Local Coverage Total Direct Similarity Cross-Label Deviation Minimization,105.203 (40),98.243 (51),101.624 (47),109.668 (36),43.50
Local Coverage Total Direct Similarity Cross-Label Total Minimization,104.186 (50),99.202 (42),101.410 (49),109.113 (40),45.25
Local Coverage Total Direct Similarity (With Sparsity) Cross-Label Deviation Minimization,118.433 (5),111.801 (8),108.324 (10),125.126 (4),6.75
Local Coverage Total Direct Similarity (With Sparsity) Cross-Label Total Minimization,118.083 (7),110.876 (16),108.692 (7),124.826 (5),8.75
Local Coverage Total All-Pairs Similarity (excl source) Cross-Label Deviation Minimization,105.115 (44),98.557 (49),99.758 (61),108.954 (43),49.25
Local Coverage Total All-Pairs Similarity (excl source) Cross-Label Total Minimization,104.402 (49),99.100 (44),100.814 (56),109.171 (39),47.00
Local Coverage Total All-Pairs Similarity (excl source) (With Sparsity) Cross-Label Deviation Minimization,118.502 (4),111.969 (5),107.206 (20),125.481 (1),7.50
Local Coverage Total All-Pairs Similarity (excl source) (With Sparsity) Cross-Label Total Minimization,118.083 (7),110.955 (15),108.692 (7),124.798 (6),8.75
Local Liability + Reachability Total All-Pairs Similarity (incl source) (With Sparsity) Cross-Label Deviation Minimization,120.250 (2),109.631 (20),108.834 (5),123.276 (10),9.25
Local Liability + Reachability Total Counting Cross-Label Total Minimization,113.601 (17),104.740 (33),106.709 (22),114.028 (25),24.25
Local Liability + Reachability Total Counting (With Sparsity) Cross-Label Total Minimization,116.611 (11),111.581 (10),107.508 (16),122.300 (12),12.25
Local Liability + Reachability Total Direct Similarity (With Sparsity) Cross-Label Total Minimization,117.457 (8),110.739 (17),113.095 (1),124.257 (7),8.25
Local Liability + Coverage Total All-Pairs Similarity (incl source) (With Sparsity) Cross-Label Deviation Minimization,118.502 (4),111.969 (5),107.206 (20),125.481 (1),7.50
Local Liability + Coverage Total Counting Cross-Label Total Minimization,105.188 (42),98.942 (47),101.027 (53),108.981 (42),46.00
Local Liability + Coverage Total Counting (With Sparsity) Cross-Label Total Minimization,118.233 (6),111.477 (12),109.046 (3),125.258 (2),5.75
Local Liability + Coverage Total Direct Similarity (With Sparsity) Cross-Label Total Minimization,118.083 (7),110.876 (16),108.692 (7),124.826 (5),8.75
Local Reachability + Coverage Total All-Pairs Similarity (incl source) (With Sparsity) Cross-Label Deviation Minimization,118.502 (4),111.969 (5),107.206 (20),125.481 (1),7.50
Local Reachability + Coverage Total Counting Cross-Label Total Minimization,105.188 (42),98.942 (47),101.027 (53),108.981 (42),46.00
Local Reachability + Coverage Total Counting (With Sparsity) Cross-Label Total Minimization,118.233 (6),111.477 (12),109.046 (3),125.258 (2),5.75
Local Reachability + Coverage Total Direct Similarity (With Sparsity) Cross-Label Total Minimization,118.083 (7),110.876 (16),108.692 (7),124.826 (5),8.75
Local Liability + Reachability + Coverage Total All-Pairs Similarity (incl source) (With Sparsity) Cross-Label Deviation Minimization,118.502 (4),111.969 (5),107.206 (20),125.481 (1),7.50
Local Liability + Reachability + Coverage Total Counting Cross-Label Total Minimization,105.188 (42),98.942 (47),101.027 (53),108.981 (42),46.00
Local Liability + Reachability + Coverage Total Counting (With Sparsity) Cross-Label Total Minimization,118.233 (6),111.477 (12),109.046 (3),125.258 (2),5.75
Local Liability + Reachability + Coverage Total Direct Similarity (With Sparsity) Cross-Label Total Minimization,118.083 (7),110.876 (16),108.692 (7),124.826 (5),8.75
